iter	Passed	Remaining
0	1	143
1	2	132
2	3	128
3	5	120
4	6	119
5	7	117
6	8	115
7	9	114
8	11	114
9	12	114
10	14	113
11	15	112
12	16	110
13	17	108
14	18	106
15	19	104
16	21	102
17	22	101
18	23	100
19	24	99
20	26	98
21	27	96
22	28	94
23	29	93
24	30	92
25	31	90
26	33	89
27	34	88
28	35	87
29	36	85
30	38	84
31	40	85
32	41	84
33	43	83
34	44	82
35	45	80
36	46	79
37	48	78
38	49	77
39	50	76
40	52	75
41	53	73
42	54	72
43	56	71
44	57	70
45	58	69
46	60	67
47	61	66
48	62	65
49	64	64
50	65	62
51	66	61
52	68	60
53	69	59
54	70	57
55	71	56
56	72	55
57	74	53
58	75	52
59	76	50
60	77	49
61	78	48
62	80	46
63	81	45
64	82	44
65	83	43
66	85	41
67	86	40
68	87	39
69	88	37
70	89	36
71	90	35
72	91	33
73	92	32
74	94	31
75	95	30
76	96	28
77	97	27
78	98	26
79	99	24
80	101	23
81	102	22
82	103	21
83	104	19
84	105	18
85	106	17
86	107	16
87	109	14
88	110	13
89	111	12
90	112	11
91	113	9
92	114	8
93	116	7
94	117	6
95	118	4
96	119	3
97	120	2
98	121	1
99	122	0
