iter	Passed	Remaining
0	1	1000
1	1	866
2	2	815
3	3	782
4	3	786
5	4	806
6	5	808
7	6	802
8	7	792
9	7	783
10	8	773
11	9	772
12	10	802
13	11	820
14	12	810
15	13	800
16	13	792
17	14	787
18	15	779
19	15	777
20	16	782
21	17	788
22	18	787
23	19	783
24	19	779
25	20	773
26	21	770
27	22	765
28	23	776
29	24	779
30	25	782
31	26	787
32	26	787
33	27	784
34	28	781
35	29	786
36	30	795
37	31	796
38	32	794
39	32	790
40	33	786
41	34	783
42	35	784
43	36	786
44	37	788
45	38	788
46	38	785
47	39	788
48	40	785
49	41	784
50	42	791
51	43	796
52	44	795
53	45	793
54	45	790
55	46	787
56	47	789
57	48	791
58	49	793
59	50	792
60	51	789
61	52	786
62	52	784
63	53	784
64	54	790
65	56	794
66	56	793
67	57	790
68	58	788
69	59	786
70	60	787
71	61	789
72	62	787
73	62	785
74	63	784
75	64	783
76	65	782
77	66	783
78	67	785
79	68	784
80	69	783
81	70	784
82	70	778
83	71	778
84	72	781
85	73	784
86	74	785
87	75	786
88	76	786
89	77	788
90	79	796
91	80	796
92	81	799
93	83	800
94	83	800
95	85	801
96	86	801
97	87	803
98	88	804
99	89	802
100	89	799
101	91	801
102	92	801
103	92	799
104	93	796
105	94	793
106	94	791
107	95	789
108	96	787
109	97	786
110	98	786
111	99	786
112	99	783
113	101	785
114	102	785
115	103	790
116	104	792
117	105	791
118	106	790
119	107	789
120	109	793
121	110	792
122	111	792
123	112	791
124	112	790
125	113	788
126	114	788
127	115	788
128	116	789
129	117	788
130	118	787
131	119	786
132	120	785
133	121	785
134	122	784
135	123	782
136	123	780
137	124	778
138	125	776
139	126	775
140	127	775
141	128	773
142	128	771
143	129	770
144	130	768
145	130	766
146	131	764
147	132	762
148	133	763
149	134	763
150	135	761
151	136	760
152	137	759
153	137	757
154	138	755
155	139	757
156	141	757
157	142	757
158	143	758
159	144	757
160	144	754
161	145	755
162	147	755
163	147	754
164	148	752
165	149	751
166	150	749
167	150	747
168	152	747
169	153	748
170	154	747
171	155	746
172	155	745
173	156	744
174	158	745
175	159	744
176	159	743
177	160	743
178	161	742
179	162	740
180	163	739
181	164	739
182	165	739
183	166	737
184	167	736
185	167	734
186	168	732
187	169	731
188	170	730
189	171	730
190	172	731
191	174	732
192	175	731
193	175	730
194	177	731
195	178	731
196	179	729
197	179	728
198	181	729
199	182	730
200	184	731
201	187	741
202	194	764
203	198	776
204	202	786
205	204	788
206	206	792
207	209	798
208	213	809
209	215	809
210	216	808
211	217	808
212	220	815
213	222	818
214	224	818
215	227	824
216	228	824
217	229	822
218	232	827
219	233	826
220	234	824
221	235	823
222	236	823
223	238	825
224	242	836
225	244	836
226	245	837
227	247	837
228	249	839
229	250	838
230	252	839
231	254	842
232	256	842
233	257	841
234	258	840
235	260	843
236	261	842
237	262	841
238	263	839
239	264	838
240	266	837
241	269	842
242	270	841
243	271	840
244	272	839
245	273	839
246	275	838
247	276	837
248	277	838
249	280	841
250	281	841
251	283	841
252	286	845
253	287	845
254	289	844
255	290	844
256	291	843
257	292	842
258	293	840
259	295	839
260	299	847
261	315	888
262	318	893
263	320	892
264	321	891
265	324	896
266	326	897
267	328	896
268	329	895
269	331	896
270	333	896
271	335	898
272	337	897
273	338	896
274	339	894
275	341	895
276	343	895
277	344	895
278	347	898
279	349	897
280	350	897
281	351	895
282	353	895
283	354	893
284	355	891
285	356	889
286	357	887
287	358	886
288	359	885
289	360	883
290	361	881
291	363	880
292	366	883
293	367	882
294	368	881
295	369	878
296	370	877
297	371	875
298	372	874
299	373	872
300	374	870
301	375	868
302	377	867
303	378	866
304	379	864
305	380	862
306	381	860
307	382	859
308	383	858
309	384	856
310	385	854
311	386	852
312	387	850
313	388	848
314	389	847
315	390	845
316	391	844
317	392	842
318	393	840
319	395	839
320	396	838
321	397	836
322	397	834
323	398	832
324	399	829
325	400	827
326	401	826
327	402	824
328	403	823
329	404	821
330	405	819
331	406	817
332	407	816
333	408	815
334	409	813
335	410	811
336	411	809
337	412	807
338	413	805
339	414	803
340	414	801
341	415	799
342	416	797
343	417	795
344	418	794
345	419	792
346	420	791
347	421	788
348	421	786
349	422	784
350	423	782
351	424	780
352	425	779
353	426	778
354	427	776
355	428	774
356	429	772
357	429	770
358	431	769
359	432	768
360	434	768
361	435	767
362	436	765
363	437	764
364	438	763
365	439	761
366	440	759
367	440	757
368	441	755
369	442	753
370	443	752
371	444	750
372	445	749
373	446	747
374	447	745
375	448	743
376	449	742
377	450	740
378	451	739
379	452	738
380	453	737
381	454	735
382	456	735
383	457	734
384	458	732
385	459	730
386	460	728
387	460	727
388	462	726
389	463	725
390	464	724
391	465	722
392	466	720
393	468	720
394	469	718
395	470	717
396	471	715
397	472	714
398	472	712
399	473	710
400	474	708
401	475	707
402	476	705
403	477	704
404	478	702
405	478	700
406	479	698
407	480	697
408	482	696
409	482	694
410	483	693
411	484	691
412	485	689
413	486	688
414	487	686
415	488	685
416	488	683
417	489	681
418	490	680
419	491	678
420	492	676
421	493	676
422	494	675
423	495	673
424	496	671
425	497	670
426	498	668
427	499	668
428	500	666
429	501	665
430	502	663
431	503	662
432	504	661
433	506	660
434	507	659
435	509	658
436	510	658
437	512	657
438	513	655
439	513	654
440	514	652
441	515	650
442	516	649
443	517	648
444	518	647
445	519	645
446	520	643
447	521	642
448	522	641
449	523	639
450	524	638
451	526	638
452	527	637
453	528	636
454	530	635
455	531	633
456	532	632
457	533	630
458	534	629
459	535	628
460	537	627
461	538	626
462	539	625
463	540	623
464	541	622
465	542	621
466	543	620
467	544	619
468	546	618
469	547	616
470	548	615
471	548	614
472	549	612
473	550	610
474	551	609
475	552	607
476	552	606
477	553	604
478	554	603
479	555	601
480	556	600
481	557	598
482	557	597
483	558	595
484	559	594
485	560	593
486	561	591
487	562	590
488	563	588
489	563	586
490	564	585
491	573	592
492	574	591
493	575	589
494	576	588
495	577	586
496	577	584
497	579	583
498	580	582
499	581	581
500	582	579
501	583	578
502	583	576
503	584	575
504	586	574
505	587	573
506	588	572
507	590	571
508	591	570
509	592	569
510	593	568
511	594	566
512	595	565
513	596	564
514	598	563
515	599	562
516	600	560
517	601	559
518	602	558
519	603	557
520	605	556
521	605	554
522	606	553
523	607	551
524	608	550
525	609	549
526	610	548
527	611	546
528	612	545
529	613	544
530	614	542
531	615	541
532	616	540
533	617	539
534	618	537
535	619	536
536	620	534
537	620	533
538	622	532
539	622	530
540	623	529
541	624	527
542	625	526
543	626	525
544	627	524
545	628	522
546	629	521
547	630	520
548	631	518
549	632	517
550	633	515
551	634	514
552	635	513
553	636	512
554	637	510
555	637	509
556	638	507
557	639	506
558	640	505
559	641	503
560	642	502
561	643	501
562	644	500
563	645	498
564	646	497
565	647	496
566	648	494
567	648	493
568	649	491
569	650	490
570	650	489
571	651	487
572	652	486
573	653	485
574	655	484
575	656	483
576	657	481
577	658	480
578	659	479
579	660	478
580	661	476
581	661	475
582	662	473
583	663	472
584	664	471
585	665	469
586	666	468
587	667	467
588	668	466
589	669	465
590	671	464
591	672	463
592	672	461
593	673	460
594	674	459
595	675	457
596	676	456
597	677	455
598	678	454
599	679	452
600	679	451
601	680	449
602	681	448
603	681	447
604	683	446
605	684	445
606	685	444
607	686	442
608	687	441
609	688	439
610	689	438
611	690	437
612	691	436
613	691	434
614	692	433
615	693	432
616	694	430
617	695	429
618	696	428
619	697	427
620	698	426
621	699	424
622	700	423
623	701	422
624	702	421
625	703	420
626	704	418
627	704	417
628	705	416
629	706	415
630	707	414
631	708	412
632	709	411
633	710	410
634	711	408
635	712	407
636	713	406
637	714	405
638	715	404
639	716	403
640	717	401
641	718	400
642	720	399
643	721	399
644	723	398
645	724	396
646	724	395
647	725	394
648	726	393
649	727	391
650	728	390
651	729	389
652	730	388
653	731	387
654	732	385
655	733	384
656	734	383
657	735	382
658	736	380
659	736	379
660	737	378
661	738	377
662	739	375
663	740	374
664	741	373
665	741	371
666	742	370
667	743	369
668	744	368
669	745	367
670	746	365
671	747	364
672	747	363
673	748	362
674	749	361
675	751	360
676	752	358
677	752	357
678	753	356
679	754	355
680	755	353
681	756	352
682	757	351
683	758	350
684	758	349
685	759	347
686	760	346
687	761	345
688	762	343
689	763	342
690	764	341
691	764	340
692	765	339
693	766	337
694	766	336
695	767	335
696	768	334
697	769	333
698	770	331
699	771	330
700	772	329
701	773	328
702	774	327
703	775	326
704	776	324
705	777	323
706	777	322
707	778	321
708	779	319
709	780	318
710	781	317
711	782	316
712	783	315
713	783	314
714	784	312
715	785	311
716	786	310
717	787	309
718	788	308
719	789	307
720	790	306
721	791	304
722	792	303
723	793	302
724	795	301
725	795	300
726	796	299
727	797	297
728	798	296
729	798	295
730	799	294
731	800	293
732	802	292
733	803	291
734	804	289
735	804	288
736	806	287
737	807	286
738	808	285
739	809	284
740	809	283
741	810	281
742	811	280
743	812	279
744	813	278
745	814	277
746	815	276
747	816	275
748	818	274
749	819	273
750	820	272
751	821	270
752	822	269
753	823	268
754	824	267
755	825	266
756	826	265
757	826	264
758	827	262
759	828	261
760	829	260
761	830	259
762	831	258
763	832	257
764	833	256
765	834	254
766	835	253
767	836	252
768	837	251
769	838	250
770	839	249
771	840	248
772	841	246
773	842	246
774	844	245
775	845	244
776	846	242
777	848	242
778	849	241
779	850	239
780	851	238
781	852	237
782	854	236
783	855	235
784	856	234
785	857	233
786	858	232
787	860	231
788	861	230
789	862	229
790	863	228
791	864	227
792	865	225
793	866	224
794	867	223
795	868	222
796	869	221
797	871	220
798	873	219
799	874	218
800	875	217
801	877	216
802	878	215
803	879	214
804	880	213
805	881	212
806	882	211
807	883	210
808	885	208
809	886	207
810	887	206
811	888	205
812	888	204
813	889	203
814	891	202
815	892	201
816	893	200
817	893	198
818	894	197
819	895	196
820	897	195
821	898	194
822	900	193
823	901	192
824	902	191
825	903	190
826	904	189
827	905	188
828	906	186
829	907	185
830	908	184
831	909	183
832	910	182
833	911	181
834	912	180
835	913	179
836	914	178
837	915	176
838	916	175
839	917	174
840	918	173
841	919	172
842	920	171
843	921	170
844	922	169
845	923	168
846	924	167
847	925	165
848	926	164
849	927	163
850	928	162
851	929	161
852	930	160
853	931	159
854	931	158
855	932	156
856	933	155
857	934	154
858	935	153
859	936	152
860	937	151
861	938	150
862	940	149
863	941	148
864	942	147
865	943	145
866	943	144
867	944	143
868	945	142
869	946	141
870	947	140
871	948	139
872	949	138
873	950	137
874	951	135
875	953	134
876	954	133
877	955	132
878	956	131
879	957	130
880	958	129
881	959	128
882	960	127
883	961	126
884	962	125
885	963	124
886	964	122
887	965	121
888	966	120
889	967	119
890	968	118
891	969	117
892	971	116
893	971	115
894	972	114
895	973	113
896	974	111
897	975	110
898	977	109
899	978	108
900	978	107
901	979	106
902	980	105
903	981	104
904	982	103
905	983	102
906	984	100
907	985	99
908	986	98
909	988	97
910	989	96
911	990	95
912	992	94
913	993	93
914	994	92
915	995	91
916	997	90
917	998	89
918	999	88
919	1001	87
920	1002	85
921	1003	84
922	1004	83
923	1004	82
924	1005	81
925	1007	80
926	1008	79
927	1008	78
928	1009	77
929	1010	76
930	1012	75
931	1013	73
932	1014	72
933	1015	71
934	1016	70
935	1017	69
936	1018	68
937	1019	67
938	1020	66
939	1021	65
940	1022	64
941	1024	63
942	1026	62
943	1028	61
944	1029	59
945	1031	58
946	1032	57
947	1033	56
948	1034	55
949	1035	54
950	1036	53
951	1037	52
952	1038	51
953	1039	50
954	1040	49
955	1042	47
956	1043	46
957	1044	45
958	1045	44
959	1046	43
960	1048	42
961	1049	41
962	1050	40
963	1051	39
964	1052	38
965	1053	37
966	1055	36
967	1056	34
968	1057	33
969	1058	32
970	1059	31
971	1060	30
972	1061	29
973	1062	28
974	1063	27
975	1064	26
976	1065	25
977	1066	23
978	1067	22
979	1069	21
980	1070	20
981	1071	19
982	1071	18
983	1073	17
984	1074	16
985	1075	15
986	1075	14
987	1076	13
988	1077	11
989	1078	10
990	1080	9
991	1081	8
992	1082	7
993	1083	6
994	1084	5
995	1085	4
996	1086	3
997	1087	2
998	1088	1
999	1089	0
